epoch,dense_14_loss,dense_9_loss,lambda_25_loss,lambda_26_loss,lambda_27_loss,lambda_28_loss,loss,val_dense_14_loss,val_dense_9_loss,val_lambda_25_loss,val_lambda_26_loss,val_lambda_27_loss,val_lambda_28_loss,val_loss
0,0.029125705570853408,0.029847205965794408,0.04481872873383093,0.18057588653412762,0.04289848201920371,0.1828160467525054,0.5100820570405953,0.004735653380491816,0.004381425982601341,0.012086026719442696,0.11879763961383098,0.014986722538376558,0.1300569647686523,0.2850444321984324
1,0.003241854165861908,0.0031851323763014273,0.009876334753333625,0.11588565249155722,0.011695036169829781,0.13155527143591328,0.27543928012522834,0.0023776189865064874,0.0024051106589492166,0.009010716668064649,0.09673793184883701,0.010148880412539283,0.11334251728568229,0.23402277535705246
2,0.0020624825342874433,0.002006102089736452,0.00835313227154338,0.09841402452287085,0.0095990880651096,0.12052887182151656,0.24096370178156876,0.0017630881913961191,0.0017274214911610338,0.008028584224520642,0.08749710036628021,0.009089501632967647,0.10751897039363802,0.21562466552081577
3,0.0016774065966217032,0.0015777490619820972,0.007578286029095361,0.09051340608964388,0.008821162243286489,0.11477660628245266,0.22494461666658452,0.0015362741197251927,0.0014324511512579159,0.007322589812099016,0.08049985427761444,0.008542061366980467,0.10244517179073018,0.2017784005823145
4,0.0014674535954722072,0.0013391816214609713,0.006977109359735158,0.08338759604302212,0.00837477599049125,0.10954692207356907,0.21109303867650164,0.0013341421436740288,0.001204360283134357,0.0065865317237730125,0.07486775121941305,0.00802377888781253,0.09847737560118623,0.1904939402302045
5,0.00126773872688773,0.0011552416579594434,0.0062616433987845365,0.0781978081057097,0.007849926576264923,0.1060986307932635,0.2008309894045685,0.0011516839574313128,0.0010634435492947532,0.005878902360449001,0.07006104793875495,0.0074801128793446975,0.09618700185862837,0.181822192439197
6,0.0011244726937000159,0.0010185253090466376,0.005660027631498085,0.07379045170810995,0.007323994404372241,0.10375700809888061,0.19267447988688224,0.001032941824393958,0.0009677417909673687,0.0053433147306550825,0.06690054809747951,0.0069516347747478795,0.09452911903527889,0.17572529903388853
7,0.0010313739713858927,0.0009137302752238689,0.00525917910389004,0.07130988207991887,0.006854583052465759,0.10202344332476349,0.18739219143870853,0.0009259232486469904,0.0008540316844220044,0.005032719140451775,0.06514489106107511,0.0065148202225315584,0.09363875407769329,0.1721111397289818
8,0.0009689955233615539,0.0008450602998684311,0.005022780766568064,0.06967693309773679,0.006491371175883964,0.1007059088540619,0.18371105015250952,0.0008970686321361717,0.0007840815429754191,0.004844459692612797,0.06391364448713073,0.006233961138940576,0.09229205226674986,0.16896526658675062
9,0.0009073009811210361,0.0007846467166902128,0.004862820446971536,0.068396189712297,0.006245508318007729,0.09964012450107247,0.1808365902110088,0.0008492880513540157,0.0007379862805851587,0.004717444484585733,0.06297408751873983,0.0060762651680441445,0.09156784045505624,0.16692291138226015
10,0.0008713984784643907,0.0007442243140032974,0.004743495009174236,0.06722119500723142,0.0060859601756558055,0.09872339744531432,0.17838967064593128,0.0008166064721014424,0.0006961534448776536,0.004589391763673556,0.06189762959649776,0.0059102633979516836,0.09080950184867616,0.16471954598593297
